Hours without subtasks;Hours with subtasks
3m 19s;196h 26m
-;134h 59m
-;95h 19m
-;40h 36m
-;19h 37m
9h 39m;9h 39m
4h 22m;4h 22m
4h 11m;4h 11m
1h 23m;1h 23m
-;14h 17m
4h 19m;5h 4m
45m 28s;45m 28s
3h 54m;3h 54m
3h 49m;3h 49m
1h 22m;1h 22m
6m 18s;6m 18s
1m 5s;1m 5s
-;3h 57m
3h 4m;3h 4m
52m 47s;52m 47s
2h 43m;2h 43m
12h 29m;24h 55m
3h 53m;3h 53m
3h 52m;3h 52m
3h 36m;3h 36m
1h 5m;1h 5m
-;23h 30m
5h 43m;5h 43m
5h 20m;5h 20m
4h 25m;4h 25m
3h 23m;3h 23m
3h 14m;3h 14m
1h 24m;1h 24m
-;2h 24m
2h 24m;2h 24m
2h 22m;2h 22m
1h 30m;1h 30m
-;34h 43m
-;29h 57m
11h 10m;23h 39m
5h 5m;5h 5m
3h 52m;3h 52m
3h 14m;3h 31m
16m 58s;16m 58s
1h 3m;4h 10m
3h 7m;3h 7m
2h 7m;2h 7m
3h 29m;3h 29m
59m 24s;59m 24s
13m 50s;13m 50s
2m 10s;2m 10s
-;4h 56m
1h 17m;1h 17m
-;1h 3m
1h 3m;1h 3m
48m 44s;48m 44s
48m 28s;48m 28s
33m 12s;33m 12s
-;26m 14s
26m 14s;26m 14s
-;36h 46m
-;21h 15m
3h 41m;10h 34m
4h 10m;4h 38m
28m 3s;28m 3s
1h 12m;1h 12m
1h 2m;1h 2m
2h 13m;2h 13m
-;2h
2h;2h
1h 31m;1h 31m
1h;1h 20m
20m 12s;20m 12s
-;1h
1h;1h
24m 30s;51m 30s
27m;27m
45m 25s;45m 25s
36m 57s;36m 57s
19m;19m
2m 51s;2m 51s
-;10h 24m
5h 58m;5h 58m
3h 55m;3h 55m
31m 2s;31m 2s
1h 35m;1h 35m
1h 16m;1h 16m
-;53m 1s
38m;38m
15m 1s;15m 1s
31m;31m
26m;26m
-;13m 20s
13m 20s;13m 20s
11m 47s;11m 47s
-;21h 34m
3h 6m;7h 48m
1h 18m;3h 18m
1h 59m;1h 59m
1h 23m;1h 23m
19m 6s;5h 6m
4h 35m;4h 47m
11m 51s;11m 51s
15m 8s;4h 37m
1h 56m;2h 15m
18m 50s;18m 50s
39m 18s;39m 18s
35m 41s;35m 41s
35m 14s;35m 14s
16m 38s;16m 38s
1h 56m;1h 56m
1h 37m;1h 37m
28m 52s;28m 52s
-;2h 49m
1m;2h 6m
1h 36m;1h 36m
28m 55s;28m 55s
37m 27s;37m 27s
5m 15s;5m 15s
1m 21s;12m 11s
-;10m 50s
10m 50s;10m 50s
12m 49s;188h 59m
-;160h 11m
-;80h 17m
22h 24m;22h 24m
2h 35m;15h 41m
2h 24m;4h 55m
2h 18m;2h 18m
12m 41s;12m 41s
45m;4h 16m
28m 44s;3h 31m
3h 2m;3h 2m
1h 18m;1h 18m
26m 11s;58m 11s
32m;32m
38m;38m
33m 14s;33m 14s
21m 16s;21m 16s
6m 24s;6m 24s
7h 3m;7h 3m
-;7h 2m
5h 55m;7h 2m
1h 6m;1h 6m
1h 47m;6h 33m
4h 28m;4h 28m
17m 14s;17m 14s
1h 3m;4h 10m
1h 13m;1h 13m
1h 9m;1h 9m
44m 59s;44m 59s
3h 46m;3h 46m
1h 55m;1h 55m
27m 50s;1h 48m
1h 4m;1h 4m
15m 38s;15m 38s
-;1h 36m
54m 59s;54m 59s
41m 31s;41m 31s
1h 35m;1h 35m
-;1h 34m
1h 7m;1h 7m
26m 57s;26m 57s
56m 19s;1h 16m
20m;20m
48m 1s;48m 1s
31m;31m
-;30m 42s
30m 42s;30m 42s
29m;29m
25m 1s;25m 1s
24m 47s;24m 47s
23m 37s;23m 37s
17m 4s;17m 4s
-;57h 58m
25h 6m;25h 6m
2h 17m;15h 13m
12h 23m;12h 23m
33m 4s;33m 4s
2h 1m;7h 13m
4h 2m;5h 12m
1h 9m;1h 9m
3h 4m;4h 21m
1h 16m;1h 16m
2h 29m;2h 29m
1h 18m;1h 18m
53m 32s;53m 32s
35m 29s;35m 29s
33m 43s;33m 43s
13m;13m
-;11h 18m
3m 52s;11h 18m
2h 24m;3h 55m
1h 6m;1h 6m
15m 17s;15m 17s
9m 31s;9m 31s
2h 2m;2h 2m
1h 18m;1h 18m
1h 13m;1h 13m
1h 4m;1h 4m
30m 37s;30m 37s
25m 31s;25m 31s
23m 12s;23m 12s
19m 44s;19m 44s
-;6h 42m
1h 20m;1h 56m
35m 51s;35m 51s
1h 54m;1h 54m
1h 36m;1h 36m
1h 15m;1h 15m
-;3h 54m
1h 40m;1h 40m
1h 8m;1h 8m
51m 53s;51m 53s
13m 44s;13m 44s
-;17h 1m
2h 48m;17h 1m
3h 53m;3h 53m
3h 29m;3h 29m
2h;3h 28m
1h 28m;1h 28m
1h 13m;1h 13m
1h 10m;1h 10m
58m 5s;58m 5s
-;11h 33m
7h 16m;7h 46m
29m 56s;29m 56s
2h 13m;2h 13m
1h 26m;1h 26m
7m 46s;7m 46s
-;115h 16m
-;84h 24m
15h 23m;29h 18m
1h 40m;7h 9m
2h 31m;2h 31m
2h 13m;2h 13m
43m 41s;43m 41s
4h 18m;4h 18m
2h 27m;2h 27m
39m 37s;21h 46m
8h 13m;8h 13m
7h 40m;7h 40m
2h 24m;2h 24m
1h 30m;1h 30m
42m 50s;42m 50s
35m;35m
-;20h 16m
8h 4m;8h 4m
7h 2m;7h 2m
2h 35m;2h 35m
1h 46m;2h 33m
47m 40s;47m 40s
5h 21m;7h 13m
1h 43m;1h 52m
8m 58s;8m 58s
2h 18m;2h 18m
1h 48m;1h 48m
1h 43m;1h 43m
-;25h 40m
6h 32m;7h 5m
33m;33m
3h 5m;3h 5m
58m 56s;2h 37m
1h 38m;1h 38m
2h 33m;2h 33m
2h 21m;2h 21m
1h 39m;1h 39m
1h 28m;1h 28m
1h 23m;1h 23m
1h 5m;1h 5m
49m 39s;49m 39s
30m 33s;30m 33s
20m 25s;20m 25s
17m 48s;17m 48s
10m 41s;10m 41s
7m 13s;7m 13s
3m 48s;3m 48s
-;5h 11m
3h 59m;3h 59m
1h 12m;1h 12m
-;96h 8m
-;96h 8m
-;83h 3m
-;63h 25m
