Hours without subtasks;Hours with subtasks
3.32;11786.00
0.00;8099.00
0.00;5719.00
0.00;2436.00
0.00;1177.00
579.00;579.00
262.00;262.00
251.00;251.00
83.00;83.00
0.00;857.00
259.00;304.00
45.47;45.47
234.00;234.00
229.00;229.00
82.00;82.00
6.30;6.30
1.08;1.08
0.00;237.00
184.00;184.00
52.78;52.78
163.00;163.00
749.00;1495.00
233.00;233.00
232.00;232.00
216.00;216.00
65.00;65.00
0.00;1410.00
343.00;343.00
320.00;320.00
265.00;265.00
203.00;203.00
194.00;194.00
84.00;84.00
0.00;144.00
144.00;144.00
142.00;142.00
90.00;90.00
0.00;2083.00
0.00;1797.00
670.00;1419.00
305.00;305.00
232.00;232.00
194.00;211.00
16.97;16.97
63.00;250.00
187.00;187.00
127.00;127.00
209.00;209.00
59.40;59.40
13.83;13.83
2.17;2.17
0.00;296.00
77.00;77.00
0.00;63.00
63.00;63.00
48.73;48.73
48.47;48.47
33.20;33.20
0.00;26.23
26.23;26.23
0.00;2206.00
0.00;1275.00
221.00;634.00
250.00;278.00
28.05;28.05
72.00;72.00
62.00;62.00
133.00;133.00
0.00;120.00
120.00;120.00
91.00;91.00
60.00;80.00
20.20;20.20
0.00;60.00
60.00;60.00
24.50;51.50
27.00;27.00
45.42;45.42
36.95;36.95
19.00;19.00
2.85;2.85
0.00;624.00
358.00;358.00
235.00;235.00
31.03;31.03
95.00;95.00
76.00;76.00
0.00;53.02
38.00;38.00
15.02;15.02
31.00;31.00
26.00;26.00
0.00;13.33
13.33;13.33
11.78;11.78
0.00;1294.00
186.00;468.00
78.00;198.00
119.00;119.00
83.00;83.00
19.10;306.00
275.00;287.00
11.85;11.85
15.13;277.00
116.00;135.00
18.83;18.83
39.30;39.30
35.68;35.68
35.23;35.23
16.63;16.63
116.00;116.00
97.00;97.00
28.87;28.87
0.00;169.00
1.00;126.00
96.00;96.00
28.92;28.92
37.45;37.45
5.25;5.25
1.35;12.18
0.00;10.83
10.83;10.83
12.82;11339.00
0.00;9611.00
0.00;4817.00
1344.00;1344.00
155.00;941.00
144.00;295.00
138.00;138.00
12.68;12.68
45.00;256.00
28.73;211.00
182.00;182.00
78.00;78.00
26.18;58.18
32.00;32.00
38.00;38.00
33.23;33.23
21.27;21.27
6.40;6.40
423.00;423.00
0.00;422.00
355.00;422.00
66.00;66.00
107.00;393.00
268.00;268.00
17.23;17.23
63.00;250.00
73.00;73.00
69.00;69.00
44.98;44.98
226.00;226.00
115.00;115.00
27.83;108.00
64.00;64.00
15.63;15.63
0.00;96.00
54.98;54.98
41.52;41.52
95.00;95.00
0.00;94.00
67.00;67.00
26.95;26.95
56.32;76.00
20.00;20.00
48.02;48.02
31.00;31.00
0.00;30.70
30.70;30.70
29.00;29.00
25.02;25.02
24.78;24.78
23.62;23.62
17.07;17.07
0.00;3478.00
1506.00;1506.00
137.00;913.00
743.00;743.00
33.07;33.07
121.00;433.00
242.00;312.00
69.00;69.00
184.00;261.00
76.00;76.00
149.00;149.00
78.00;78.00
53.53;53.53
35.48;35.48
33.72;33.72
13.00;13.00
0.00;678.00
3.87;678.00
144.00;235.00
66.00;66.00
15.28;15.28
9.52;9.52
122.00;122.00
78.00;78.00
73.00;73.00
64.00;64.00
30.62;30.62
25.52;25.52
23.20;23.20
19.73;19.73
0.00;402.00
80.00;116.00
35.85;35.85
114.00;114.00
96.00;96.00
75.00;75.00
0.00;234.00
100.00;100.00
68.00;68.00
51.88;51.88
13.73;13.73
0.00;1021.00
168.00;1021.00
233.00;233.00
209.00;209.00
120.00;208.00
88.00;88.00
73.00;73.00
70.00;70.00
58.08;58.08
0.00;693.00
436.00;466.00
29.93;29.93
133.00;133.00
86.00;86.00
7.77;7.77
0.00;6916.00
0.00;5064.00
923.00;1758.00
100.00;429.00
151.00;151.00
133.00;133.00
43.68;43.68
258.00;258.00
147.00;147.00
39.62;1306.00
493.00;493.00
460.00;460.00
144.00;144.00
90.00;90.00
42.83;42.83
35.00;35.00
0.00;1216.00
484.00;484.00
422.00;422.00
155.00;155.00
106.00;153.00
47.67;47.67
321.00;433.00
103.00;112.00
8.97;8.97
138.00;138.00
108.00;108.00
103.00;103.00
0.00;1540.00
392.00;425.00
33.00;33.00
185.00;185.00
58.93;157.00
98.00;98.00
153.00;153.00
141.00;141.00
99.00;99.00
88.00;88.00
83.00;83.00
65.00;65.00
49.65;49.65
30.55;30.55
20.42;20.42
17.80;17.80
10.68;10.68
7.22;7.22
3.80;3.80
0.00;311.00
239.00;239.00
72.00;72.00
0.00;5768.00
0.00;5768.00
0.00;4983.00
0.00;3805.00
48.00;2869.00
507.00;937.00
310.00;310.00
92.00;92.00
15.55;15.55
11.55;11.55
683.00;927.00
105.00;105.00
78.00;78.00
43.13;43.13
17.42;17.42
549.00;549.00
242.00;242.00
54.25;54.25
41.32;41.32
34.20;34.20
18.33;18.33
16.40;16.40
454.00;628.00
74.00;74.00
66.00;66.00
33.30;33.30
128.00;128.00
98.00;98.00
80.00;80.00
0.00;736.00
321.00;377.00
44.12;44.12
8.65;8.65
3.92;3.92
0.00;176.00
10.00;73.00
44.97;44.97
18.58;18.58
29.00;29.00
26.70;26.70
18.73;18.73
17.23;17.23
11.75;11.75
176.00;176.00
5.18;5.18
0.00;308.00
86.00;219.00
64.00;64.00
47.58;47.58
22.00;22.00
89.00;89.00
0.00;133.00
19.17;133.00
95.00;95.00
10.85;10.85
7.98;7.98
0.00;784.00
19.22;510.00
137.00;251.00
114.00;114.00
123.00;123.00
115.00;115.00
174.00;174.00
0.00;85.00
76.00;76.00
9.00;9.00
14.33;14.33
33.68;5701.00
0.00;4972.00
1800.00;2397.00
149.00;149.00
140.00;140.00
95.00;95.00
57.10;57.10
49.18;49.18
41.00;41.00
33.00;33.00
30.53;30.53
57.33;2073.00
298.00;1566.00
264.00;1224.00
366.00;366.00
280.00;280.00
224.00;224.00
69.00;69.00
18.78;18.78
44.23;44.23
352.00;352.00
39.48;39.48
34.00;34.00
24.08;24.08
201.00;201.00
113.00;113.00
72.00;72.00
50.00;50.00
40.27;40.27
0.87;23.03
22.17;22.17
139.00;476.00
130.00;130.00
120.00;120.00
86.00;86.00
137.00;137.00
81.00;81.00
0.00;5564.00
0.00;5377.00
91.00;5377.00
0.00;2349.00
809.00;1491.00
196.00;226.00
30.00;30.00
130.00;130.00
109.00;109.00
75.00;75.00
68.00;68.00
38.52;38.52
19.37;19.37
14.75;14.75
0.00;759.00
0.00;391.00
391.00;391.00
1.28;115.00
114.00;114.00
58.03;104.00
46.23;46.23
53.52;53.52
35.02;35.02
33.33;33.33
27.12;27.12
0.00;51.12
51.12;51.12
0.00;47.13
47.13;47.13
0.00;1265.00
0.00;776.00
236.00;469.00
43.72;148.00
105.00;105.00
84.00;84.00
97.00;97.00
86.00;86.00
80.00;80.00
43.23;43.23
461.00;461.00
16.67;16.67
11.10;11.10
0.00;975.00
491.00;491.00
337.00;337.00
79.00;79.00
44.42;44.42
24.00;24.00
0.00;625.00
615.00;615.00
10.00;10.00
0.00;69.00
59.00;59.00
10.95;10.95
0.00;186.00
117.00;186.00
58.00;58.00
11.02;11.02
0.00;5551.00
0.00;1742.00
1435.00;1435.00
306.00;306.00
317.00;1194.00
519.00;519.00
318.00;318.00
39.03;39.03
137.00;628.00
213.00;213.00
101.00;101.00
53.02;53.02
51.58;51.58
39.00;39.00
32.47;32.47
494.00;494.00
184.00;387.00
0.00;109.00
109.00;109.00
64.00;64.00
29.00;29.00
305.00;305.00
292.00;292.00
0.00;150.00
90.00;90.00
41.55;41.55
19.12;19.12
93.00;93.00
65.00;65.00
57.93;57.93
39.75;39.75
28.80;28.80
23.92;23.92
21.00;21.00
18.87;18.87
5.77;5.77
1023.00;4918.00
3894.00;3894.00
0.00;4151.00
0.00;3826.00
202.00;3633.00
0.00;3339.00
1475.00;1859.00
115.00;115.00
95.00;95.00
81.00;81.00
55.00;55.00
36.67;36.67
228.00;444.00
185.00;185.00
30.00;30.00
396.00;439.00
24.93;24.93
17.95;17.95
196.00;196.00
58.25;58.25
50.00;50.00
42.83;42.83
40.48;40.48
40.00;40.00
39.82;39.82
28.37;28.37
27.15;27.15
20.73;20.73
18.40;18.40
18.00;18.00
15.70;15.70
0.00;92.00
51.53;51.53
28.52;28.52
12.22;12.22
0.63;192.00
71.00;170.00
85.00;85.00
12.55;12.55
21.87;21.87
0.00;266.00
196.00;196.00
35.52;35.52
30.00;33.92
3.92;3.92
0.00;58.88
58.88;58.88
0.00;3406.00
2743.00;2743.00
0.00;410.00
3.33;318.00
315.00;315.00
62.00;62.00
28.43;28.43
73.00;73.00
66.00;66.00
55.22;55.22
51.00;51.00
8.38;8.38
0.00;3252.00
1800.00;1800.00
435.00;1318.00
412.00;726.00
264.00;264.00
30.13;30.13
19.30;19.30
84.00;84.00
45.53;45.53
19.12;19.12
7.65;7.65
65.00;122.00
56.87;56.87
12.00;12.00
0.00;2832.00
0.00;2392.00
153.00;2214.00
562.00;1336.00
623.00;636.00
13.00;13.00
64.00;64.00
24.75;24.75
23.22;23.22
14.00;14.00
11.28;11.28
168.00;289.00
108.00;108.00
11.68;11.68
179.00;179.00
83.00;83.00
78.00;78.00
64.00;64.00
30.62;30.62
0.00;156.00
70.00;70.00
65.00;65.00
13.15;13.15
7.32;7.32
21.42;21.42
0.00;226.00
46.22;226.00
173.00;173.00
7.00;7.00
0.00;213.00
157.00;157.00
31.00;31.00
24.90;24.90
0.00;2652.00
0.00;2254.00
0.00;1788.00
0.00;1380.00
199.00;1380.00
247.00;377.00
129.00;129.00
145.00;197.00
26.68;26.68
19.43;19.43
5.87;5.87
141.00;141.00
136.00;136.00
96.00;96.00
85.00;85.00
73.00;73.00
34.18;34.18
22.28;22.28
15.13;15.13
0.00;240.00
125.00;125.00
88.00;88.00
26.00;26.00
0.00;119.00
68.00;68.00
34.32;34.32
0.00;16.12
16.12;16.12
0.00;48.00
48.00;48.00
0.00;466.00
0.00;466.00
226.00;466.00
98.00;98.00
84.00;84.00
37.02;37.02
15.00;15.00
5.77;5.77
0.00;240.00
183.00;183.00
47.00;57.00
10.00;10.00
0.00;157.00
157.00;157.00
0.00;2514.00
0.00;1995.00
270.00;1995.00
707.00;801.00
70.00;70.00
24.25;24.25
472.00;472.00
366.00;366.00
58.73;58.73
25.97;25.97
0.00;366.00
154.00;351.00
136.00;136.00
50.85;50.85
9.52;9.52
14.82;14.82
0.00;152.00
17.70;152.00
67.00;67.00
55.48;67.00
12.00;12.00
0.00;2490.00
0.00;1682.00
526.00;526.00
0.00;277.00
143.00;143.00
87.00;87.00
47.00;47.00
0.00;194.00
173.00;173.00
21.00;21.00
61.00;187.00
126.00;126.00
181.00;181.00
0.00;78.00
78.00;78.00
77.00;77.00
61.00;61.00
40.00;40.00
25.57;25.57
21.07;21.07
11.00;11.00
0.00;667.00
26.60;642.00
246.00;246.00
120.00;120.00
99.00;99.00
41.17;41.17
28.85;28.85
27.82;27.82
27.00;27.00
25.20;25.20
25.13;25.13
0.00;140.00
105.00;105.00
31.00;31.00
4.00;4.00
0.00;2336.00
69.00;1706.00
19.53;1073.00
106.00;1054.00
211.00;718.00
398.00;398.00
108.00;108.00
228.00;228.00
222.00;222.00
174.00;174.00
130.00;130.00
35.78;35.78
140.00;602.00
289.00;289.00
145.00;145.00
26.68;26.68
28.00;28.00
0.00;2308.00
0.00;2308.00
5.02;2308.00
0.00;1591.00
18.00;1057.00
361.00;361.00
152.00;152.00
141.00;141.00
127.00;127.00
116.00;116.00
99.00;99.00
20.85;20.85
20.55;20.55
201.00;201.00
117.00;117.00
47.38;47.38
45.88;45.88
10.65;45.65
35.00;35.00
45.00;45.00
30.77;30.77
0.00;511.00
511.00;511.00
0.00;200.00
121.00;138.00
16.80;16.80
20.82;20.82
20.67;20.67
15.90;15.90
4.73;4.73
42.65;2280.00
0.00;1740.00
20.08;1210.00
0.00;624.00
25.55;524.00
133.00;133.00
128.00;128.00
99.00;99.00
75.00;75.00
46.83;46.83
15.00;15.00
70.00;70.00
30.00;30.00
0.00;449.00
0.43;362.00
178.00;178.00
112.00;112.00
71.00;71.00
75.00;75.00
11.97;11.97
0.00;80.00
58.72;58.72
20.90;20.90
1.10;1.10
0.00;36.00
36.00;36.00
0.00;307.00
0.00;307.00
298.00;298.00
8.93;8.93
1.03;142.00
0.00;141.00
123.00;123.00
18.17;18.17
0.00;79.00
0.00;79.00
51.87;51.87
28.00;28.00
0.00;268.00
0.85;167.00
166.00;166.00
61.00;61.00
30.00;30.00
10.13;10.13
0.00;174.00
100.00;174.00
0.00;50.12
50.12;50.12
0.00;23.92
23.92;23.92
0.00;53.53
47.03;47.03
6.50;6.50
3.83;2129.00
0.00;2117.00
0.00;2117.00
0.00;1640.00
0.00;1290.00
934.00;934.00
307.00;307.00
48.58;48.58
117.00;207.00
90.00;90.00
83.00;143.00
48.00;48.00
12.00;12.00
0.00;476.00
107.00;469.00
271.00;271.00
84.00;84.00
4.98;4.98
7.00;7.00
7.93;7.93
13.60;1906.00
0.00;1544.00
70.00;1447.00
803.00;820.00
17.00;17.00
242.00;242.00
176.00;176.00
115.00;115.00
23.32;23.32
81.00;81.00
16.45;16.45
0.00;241.00
140.00;201.00
36.00;36.00
25.08;25.08
40.00;40.00
0.00;106.00
91.00;91.00
15.00;15.00
0.00;1697.00
0.00;1697.00
938.00;938.00
758.00;758.00
0.00;1407.00
0.00;1102.00
0.00;1102.00
0.00;392.00
183.00;239.00
55.87;55.87
152.00;152.00
0.00;265.00
145.00;171.00
25.30;25.30
94.00;94.00
0.00;169.00
169.00;169.00
0.00;164.00
91.00;99.00
8.00;8.00
65.00;65.00
0.00;109.00
3.13;109.00
60.00;60.00
46.10;46.10
0.00;223.00
0.00;223.00
0.00;223.00
216.00;216.00
6.30;6.30
0.00;82.00
73.00;73.00
9.30;9.30
0.00;1342.00
51.47;605.00
129.00;364.00
194.00;194.00
41.30;41.30
139.00;189.00
50.00;50.00
267.00;417.00
59.22;59.22
52.35;52.35
23.77;23.77
15.00;15.00
100.00;140.00
40.50;40.50
114.00;114.00
60.00;60.00
4.90;4.90
0.65;1198.00
0.00;1046.00
0.00;862.00
0.00;710.00
352.00;710.00
185.00;357.00
71.00;71.00
70.00;70.00
31.38;31.38
0.00;152.00
92.00;92.00
58.02;58.02
2.57;2.57
0.00;183.00
0.00;102.00
102.00;102.00
81.00;81.00
0.00;151.00
151.00;151.00
23.00;1037.00
480.00;480.00
215.00;215.00
178.00;178.00
58.00;58.00
40.00;40.00
18.23;18.23
13.87;13.87
10.00;10.00
0.00;773.00
304.00;304.00
29.13;118.00
84.00;84.00
5.40;5.40
101.00;112.00
11.00;11.00
73.00;73.00
66.00;66.00
60.00;60.00
40.00;40.00
0.00;680.00
0.00;503.00
184.00;196.00
12.10;12.10
84.00;84.00
66.00;66.00
53.03;53.03
51.10;51.10
32.70;32.70
19.23;19.23
0.00;177.00
67.00;141.00
73.00;73.00
36.23;36.23
0.00;636.00
0.00;636.00
474.00;636.00
92.00;92.00
37.70;37.70
17.88;17.88
13.58;13.58
0.00;515.00
230.00;230.00
114.00;114.00
81.00;81.00
75.00;75.00
14.52;14.52
0.00;503.00
0.00;503.00
197.00;197.00
150.00;150.00
106.00;106.00
26.03;26.03
24.48;24.48
0.00;480.00
0.00;309.00
69.00;69.00
58.35;58.35
53.37;53.37
52.83;52.83
43.72;43.72
32.40;32.40
0.00;105.00
0.00;87.00
0.00;87.00
56.55;56.55
31.03;31.03
0.00;17.68
0.00;17.68
17.68;17.68
0.00;65.00
65.00;65.00
0.00;411.00
229.00;229.00
75.00;75.00
70.00;70.00
22.65;22.65
15.00;15.00
0.00;386.00
0.00;386.00
0.00;204.00
0.00;126.00
111.00;111.00
15.52;15.52
0.00;77.00
0.00;77.00
77.00;77.00
0.00;181.00
0.00;155.00
94.00;94.00
55.08;55.08
6.10;6.10
0.00;26.00
26.00;26.00
0.00;315.00
0.00;242.00
125.00;125.00
23.03;68.00
26.38;26.38
9.75;9.75
9.65;9.65
40.17;40.17
7.92;7.92
0.00;73.00
0.00;38.70
38.70;38.70
0.00;34.47
34.47;34.47
108.00;295.00
0.00;186.00
105.00;105.00
60.00;81.00
20.62;20.62
0.00;275.00
0.00;188.00
0.00;188.00
0.00;135.00
92.00;92.00
43.33;43.33
0.00;53.30
53.30;53.30
0.00;86.00
86.00;86.00
0.00;259.00
180.00;180.00
73.00;73.00
6.25;6.25
0.00;246.00
0.00;246.00
246.00;246.00
0.00;230.00
0.00;200.00
147.00;147.00
52.67;52.67
30.00;30.00
0.00;227.00
0.00;227.00
227.00;227.00
0.00;208.00
10.65;152.00
57.15;57.15
50.75;50.75
33.55;33.55
0.00;56.00
28.60;56.00
27.40;27.40
0.00;199.00
0.00;199.00
147.00;147.00
51.05;51.05
186.00;186.00
0.00;172.00
0.00;172.00
0.00;172.00
172.00;172.00
167.00;167.00
0.00;144.00
144.00;144.00
