Name;Hours without subtasks;Hours with subtasks
S-Line Scan;3.32;11786.00
|1813 - S-line Scan 400 Axsun;0.00;8099.00
||Testing & Evaluation;0.00;5719.00
|||Vyhodnotenie;0.00;2436.00
||||Wl range sweep;0.00;1177.00
|||||1. test;579.00;579.00
|||||3.snimac;262.00;262.00
|||||2. snimac;251.00;251.00
|||||4. snimac;83.00;83.00
||||Fitovanie;0.00;857.00
|||||Test nr.5;259.00;304.00
||||||Talk - Jaro;45.47;45.47
|||||Test nr.6;234.00;234.00
|||||Test nr. 4;229.00;229.00
|||||Test nr.7;82.00;82.00
|||||Test nr. 3;6.30;6.30
|||||Test nr. 2;1.08;1.08
||||Testovanie VOA;0.00;237.00
|||||WL nr. 4;184.00;184.00
|||||WL nr. 3 VOA0;52.78;52.78
||||Postupne spajanie snimacov - test 1875;163.00;163.00
|||Testovanie fitovania / cely WL range;749.00;1495.00
||||Sensor nr. 2;233.00;233.00
||||Sensor 3 opakovane testy;232.00;232.00
||||Sensor nr.3;216.00;216.00
||||Sensor nr. 4;65.00;65.00
|||Testovanie fitovania;0.00;1410.00
||||Test nr. 2;343.00;343.00
||||Test nr.7 - Testovanie VOA2;320.00;320.00
||||Testovanie nr.3;265.00;265.00
||||Test nr.1 - Jardo;203.00;203.00
||||Testovanie nr.5 - Scrambler + dlhe ustalenie;194.00;194.00
||||Test nr.6 - Testovanie VOA;84.00;84.00
|||Testovanie VOA;0.00;144.00
||||WL nr. 3 VOA0;144.00;144.00
|||Testovanie DTG;142.00;142.00
|||Testovanie polarizacie 400;90.00;90.00
||Design;0.00;2083.00
|||R&D;0.00;1797.00
||||TRL - Risk Management - Jaro;670.00;1419.00
|||||Udpdate riskov;305.00;305.00
|||||UML diagram vyvoja;232.00;232.00
|||||risk management pre 400 - Tomas;194.00;211.00
||||||Poznamky;16.97;16.97
||||Fitovanie S-Line Scan 400;63.00;250.00
|||||Talk s Jardom;187.00;187.00
||||Talk - Jardo;127.00;127.00
|||Specka komunikacneho protokolu / Jaro;209.00;209.00
|||Test c. 1 - setup;59.40;59.40
|||Test c.2 - setup;13.83;13.83
|||Test c.1 - Mail;2.17;2.17
||General;0.00;296.00
|||Planovanie uloh - Jardo;77.00;77.00
|||Vyroba snimacov;0.00;63.00
||||Mail Marek / Tomas;63.00;63.00
|||Summary 2016 - Jardo;48.73;48.73
|||Update Eway;48.47;48.47
|||Stav - Peto;33.20;33.20
|||ASE zdroj;0.00;26.23
||||Mail - Tomas / Fibercore;26.23;26.23
|Production and Maintenance;0.00;2206.00
||S-Line Scan 800;0.00;1275.00
|||Testovanie switchu - Sercalo Paralell to Serial;221.00;634.00
||||Testovanie ITR z ESIRIS - Jaro;250.00;278.00
|||||Talk - Jardo;28.05;28.05
||||Testovanie zariadenia;72.00;72.00
||||Testovanie zostavy, Reinstall pocitaca - Jardo;62.00;62.00
|||Zistenie chyby a oprava ITR 126233/0002;133.00;133.00
|||Testovanie teplotneho rozsahu so switchom;0.00;120.00
||||Vyhodnotenie merani;120.00;120.00
|||Check switchu - Jardo / Tomas;91.00;91.00
|||Vyroba na nasledujuce obdobie - 2016-Apr;60.00;80.00
||||Update zoznamu;20.20;20.20
|||Risk management;0.00;60.00
||||Update zoznamu riskov;60.00;60.00
|||Aktualny stav - 2016-Jul;24.50;51.50
||||Talk - Peto / Jaro;27.00;27.00
|||Diskusia - bug Osterbaai - Jaro;45.42;45.42
|||Vysledky - Jaro;36.95;36.95
|||Birefringence;19.00;19.00
|||Vyroba pre Kiwa;2.85;2.85
||Evidencia interogatorv;0.00;624.00
|||Update zoznamu;358.00;358.00
|||Prerobenie excelu;235.00;235.00
|||Doplnenie informacii - Jaro / Ado;31.03;31.03
||Testovanie sercalo switchu;95.00;95.00
||Komunikacia s Bayspecom;76.00;76.00
||Organizacia ulohy;0.00;53.02
|||Brainstorming - Jaro;38.00;38.00
|||Priprava materialov;15.02;15.02
||Meeting - Peto / Tomas / Ado;31.00;31.00
||Vyroba - meeting - Peto / Ado / Jaro;26.00;26.00
||Vstupna kontrola interogatorov;0.00;13.33
|||diskusia - Tomas;13.33;13.33
||Upgrade Teamviewer lincencii;11.78;11.78
|Design;0.00;1294.00
||Testovanie Illumisense Wave;186.00;468.00
|||EC test TTL request;78.00;198.00
||||testovanie - Jaro;119.00;119.00
|||Testovanie 804D;83.00;83.00
||Modbus;19.10;306.00
|||Modbus programovanie;275.00;287.00
||||Komunikacia so sentinelom;11.85;11.85
||Exalos - zdroj svetla - Peto / Jaro / Gabo;15.13;277.00
|||Jardo - riesenie problemu;116.00;135.00
||||Analyza udajov - Excel;18.83;18.83
|||Fibera - konektorovanie;39.30;39.30
|||Fibera setup;35.68;35.68
|||Zaver;35.23;35.23
|||Update zoznamu interogatorov;16.63;16.63
||TFT mail;116.00;116.00
||Vyvoj novych zariadeni - meeting Peto / Jaro;97.00;97.00
||Research zariadeni - Jardo;28.87;28.87
|General;0.00;169.00
||Vyvoj na nasledujuce obdobie;1.00;126.00
|||Talk - Jardo;96.00;96.00
|||Mail - Jardo;28.92;28.92
||Meeting - Miso / Edo / Peto / Jaro;37.45;37.45
||Vyroba na nasledujuce obdobie;5.25;5.25
|1830 - Datalogger;1.35;12.18
||Design;0.00;10.83
|||VW koncepty - studovanie;10.83;10.83
1444 - Sentinel;12.82;11339.00
|R&D;0.00;9611.00
||Sentinel 2.0 - support;0.00;4817.00
|||Meeting v Andise;1344.00;1344.00
|||Vyber funkcii do prvej verzie 2.0;155.00;941.00
||||Meeting s Andisom;144.00;295.00
|||||Priprava na meeting;138.00;138.00
|||||Posielanie mailu do Andisu;12.68;12.68
||||Mail - funkcie Sentinelu;45.00;256.00
|||||Aktualny stav - Mail - Kukuca;28.73;211.00
||||||Priprava podkladov na meeting;182.00;182.00
||||Casy usetrene novou verziou;78.00;78.00
||||Fakturacia - Mail do Andisu;26.18;58.18
|||||Talk - Peto;32.00;32.00
||||Talk - Peto;38.00;38.00
||||Talk - Tomas;33.23;33.23
||||Meeting;21.27;21.27
||||Meeting - Mail;6.40;6.40
|||Andis meeting - zasadacka 1;423.00;423.00
|||Sentinel 2.0.0.1;0.00;422.00
||||Testovanie aplikacie;355.00;422.00
|||||Mail Mojovi;66.00;66.00
|||Testovanie nr.1;107.00;393.00
||||Mail do Andisu;268.00;268.00
||||Brainstorming - Jardo;17.23;17.23
|||Andis - priprava;63.00;250.00
||||Zasadacka - priprava;73.00;73.00
||||Priprava na meeting c. 2;69.00;69.00
||||Priprava na meeting - Jaro;44.98;44.98
|||Andis meeting - zasadacka 2;226.00;226.00
|||Meeting v Andise - switch 1x4;115.00;115.00
|||Andis nacenenie;27.83;108.00
||||Mail do Andisu;64.00;64.00
||||Talk s Petom;15.63;15.63
|||Sentinel 2.0.0.5;0.00;96.00
||||Testovanie aplikacie;54.98;54.98
||||Testovanie vzorcov;41.52;41.52
|||Andis meeting - zasadacka 3;95.00;95.00
|||Preco Linux;0.00;94.00
||||napady;67.00;67.00
||||Talk - Peto;26.95;26.95
|||Sentinel 2.0.0.4;56.32;76.00
||||Testovanie aplikacie;20.00;20.00
|||Talk - Jardo;48.02;48.02
|||Priprava na meeting - Jardo;31.00;31.00
|||Sentinel 2.0 1. beta verzia;0.00;30.70
||||Plan testov;30.70;30.70
|||Talk - Peto;29.00;29.00
|||Export / Import nastaveni;25.02;25.02
|||Mailova komunikacia Andis;24.78;24.78
|||Telefonat s Mojom;23.62;23.62
|||Priprava interrogatora;17.07;17.07
||Tvorba manualu / specifikacie;0.00;3478.00
|||Sentinel specka;1506.00;1506.00
|||koncepty S-line merani;137.00;913.00
||||Doplnenie do manualu;743.00;743.00
||||Flowcharty - Marek;33.07;33.07
|||Sentinel brainstorming;121.00;433.00
||||Brainstorming - Jaro;242.00;312.00
|||||Peto meeting;69.00;69.00
|||Koncepty dataloggerov / SW cast;184.00;261.00
||||Talk - Jaro;76.00;76.00
|||Sentinel - koncepty GUI - Marek meeting;149.00;149.00
|||Meeting Peto / Jaro / Gabo;78.00;78.00
|||Sentinel 2.0;53.53;53.53
|||UML diagramy;35.48;35.48
|||Dohodnutie dalsich krokov Sentinel 1.1 / 2.0;33.72;33.72
|||Talk s Jardom ohladom S-line Scan 400;13.00;13.00
||Sentinel 1.0;0.00;678.00
|||Sentinel 1.0;3.87;678.00
||||Testovanie bugfix ID1 Sentinel 1.0;144.00;235.00
|||||Brainstroming dalsich krokov - Jaro;66.00;66.00
|||||Navrh testov - Jaro;15.28;15.28
|||||Talk s Petom o vysledkoch testov;9.52;9.52
||||Testovanie Andis bugfix04;122.00;122.00
||||Nove screenshoty;78.00;78.00
||||Komunikacia s ANDIS;73.00;73.00
||||Peto meeting ohladom uprav Sentinel 1.0;64.00;64.00
||||Testovanie Andis bugfix03;30.62;30.62
||||Testovanie Andis bugfix05 - final;25.52;25.52
||||Final check 1.0 - Peto;23.20;23.20
||||Testovanie Andis bugfix05;19.73;19.73
||Dynamicke meranie - zaklady;0.00;402.00
|||Dynamicke meranie UML;80.00;116.00
||||Marek - Visio;35.85;35.85
|||Talk s Petom - Sentinel dynamicke problemy;114.00;114.00
|||Dynamicke meranie - priprava;96.00;96.00
|||Koncepty dynamickeho merania;75.00;75.00
||Testovanie 2.0;0.00;234.00
|||Setup systemu;100.00;100.00
|||Sumar zisteni;68.00;68.00
|||Zistienia z meetingu;51.88;51.88
|||Problem so spustenim SW;13.73;13.73
|Prototyping & Testing;0.00;1021.00
||Testovanie Sentinel 2.0;168.00;1021.00
|||Test nr.1;233.00;233.00
|||Nastavenie testov - Jarino;209.00;209.00
|||Priprava bug-ov na meeting;120.00;208.00
||||Priprava dokumentov;88.00;88.00
|||Testovanie meeting - Tomas, Marek;73.00;73.00
|||Zber informacii;70.00;70.00
|||Konzultacia - Kukuca;58.08;58.08
|Customer project / product maintenance;0.00;693.00
||Vyhody Sentinel 2.0;436.00;466.00
|||Talk - Peto;29.93;29.93
||Sentinel Datasheet;133.00;133.00
||Upgrade Definicneho suboru - referencovanie Strain;86.00;86.00
||Testovanie FTP;7.77;7.77
1875 - S-line Scan 800 - Attenuation / Max. number of sensors testing;0.00;6916.00
|Testing & evaluation;0.00;5064.00
||Testovanie maximalneho poctu sniamcov na kanal;923.00;1758.00
|||Vyhodnotenie;100.00;429.00
||||Logaritmizacia;151.00;151.00
||||Diskusia - Jardo;133.00;133.00
||||Problemy - Tomas - Margarethe;43.68;43.68
|||Splitter testy;258.00;258.00
|||postupne odstranenie snimacov;147.00;147.00
||Testovanie polarizacie;39.62;1306.00
|||Testovanie depolarizatora;493.00;493.00
|||Tesovanie Polarizatora od Potroka;460.00;460.00
|||Nove teplotne testy - deploarizator;144.00;144.00
|||Vysvetlenie nefunkcnosti DEPOL - Potrok;90.00;90.00
|||Hladania snimacov / upratanie;42.83;42.83
|||Talk - Edo;35.00;35.00
||Vyhodnotenie;0.00;1216.00
|||Testovanie depolarizacie;484.00;484.00
|||Postupne odstranenie snimacov;422.00;422.00
|||Synchronizacia udajov;155.00;155.00
|||Sumarizacia zisteni;106.00;153.00
||||Talk - Jardo;47.67;47.67
||Talk - Jardo;321.00;433.00
|||Mail chalanom - objednanie vlakna;103.00;112.00
||||Talk - Tomas;8.97;8.97
||Vstupna kontrola - Micron + Sline 800;138.00;138.00
||Vstupna kontrola - 400;108.00;108.00
||Testovanie zvysovanie Dynamic Range;103.00;103.00
|General;0.00;1540.00
||Meeting - ILC / Chovan;392.00;425.00
|||Priprava meetingu;33.00;33.00
||Mail Chovanovi;185.00;185.00
||Meeting - ITR / FFT issues;58.93;157.00
|||zapis z meetingu;98.00;98.00
||Aktualny stav ulohy - neuspesne testovanie;153.00;153.00
||Preklopenie do Projectu;141.00;141.00
||Priprava na meeting - ITR / FFT issues;99.00;99.00
||Studium - depolarizacia zdroja;88.00;88.00
||Mail do O-Eland;83.00;83.00
||Research Pump laser + EDFA zdrojov;65.00;65.00
||Mail - stav ulohy;49.65;49.65
||Mail Bramovi;30.55;30.55
||objednavka Depol;20.42;20.42
||Mail - Marek / Plevi;17.80;17.80
||Mail - Testovanie FSG;10.68;10.68
||Stav - Talk Peto;7.22;7.22
||Stav ulohy - eway;3.80;3.80
|Design;0.00;311.00
||Definicia uloh - Jardo;239.00;239.00
||Mail;72.00;72.00
Avago;0.00;5768.00
|R&D Projects;0.00;5768.00
||1742 - Low cost ITR;0.00;4983.00
|||Testing & Evaluation;0.00;3805.00
||||Testovanie - Sylex;48.00;2869.00
|||||Vyhodnotenie Test #1 a #3;507.00;937.00
||||||Priprava preliminary report;310.00;310.00
||||||Priprava grafov;92.00;92.00
||||||Vysledky - Jardo;15.55;15.55
||||||Priprava udajov pre Dawida;11.55;11.55
|||||Priprava 2. reportu;683.00;927.00
||||||Doplnenie WL do reportu;105.00;105.00
||||||Check reportu;78.00;78.00
||||||Vyhodnotenie vysledkov;43.13;43.13
||||||Check nakladov / Peto;17.42;17.42
|||||Nastavenie test #1;549.00;549.00
|||||Meeting - Avago;242.00;242.00
|||||Prehlad testov;54.25;54.25
|||||Vlakna na MS-03 - Tomas, Ado;41.32;41.32
|||||Test interrogatora;34.20;34.20
|||||Diskusia - Dawid;18.33;18.33
|||||Test # 3;16.40;16.40
||||Testovanie - kalibracia strain;454.00;628.00
|||||Porovnanie MOI vs. Avago;74.00;74.00
|||||Instalacia SW;66.00;66.00
|||||Mail do Avaga;33.30;33.30
||||Test #2;128.00;128.00
||||Nastavenie komory;98.00;98.00
||||Nastavenie test #2;80.00;80.00
|||Design;0.00;736.00
||||dohodnut s Avago plan testov;321.00;377.00
|||||Meeting - Peto;44.12;44.12
|||||Talk - Peto;8.65;8.65
|||||Mail;3.92;3.92
||||Temperature demonstrator - koncept;0.00;176.00
|||||Athermal FBG;10.00;73.00
||||||Zistovanie terminov;44.97;44.97
||||||Cenove ponuky - mail;18.58;18.58
|||||Koncept - Jaro / Mato;29.00;29.00
|||||Phone call - Dawid;26.70;26.70
|||||Mail - Magnus;18.73;18.73
|||||BOM;17.23;17.23
|||||Talk - Jaro;11.75;11.75
||||Phone call;176.00;176.00
||||Diskusia - Jaro;5.18;5.18
|||General;0.00;308.00
||||Business case - MR;86.00;219.00
|||||Definicia custom WL pre 400;64.00;64.00
|||||Talk - Peto;47.58;47.58
|||||Talk - Peto / Edo;22.00;22.00
||||phone conference;89.00;89.00
|||Production;0.00;133.00
||||Vyroba MS-03 + TP-02;19.17;133.00
|||||Diskusia - Jaro / Marek / Michal;95.00;95.00
|||||Diskusia - Marek;10.85;10.85
|||||ISYS - Ado / Peto;7.98;7.98
||1399 - OPI;0.00;784.00
|||Vyroba vzoriek 2016_1;19.22;510.00
||||Testovanie vzorky;137.00;251.00
|||||Vyhodnotenie;114.00;114.00
||||Nastavenie vzorky 2016_1;123.00;123.00
||||Lepenie vzorky 2016_01;115.00;115.00
|||Hladanie materialov na sklade / evidencia;174.00;174.00
|||Sumarizacia doterajsich vsyledkov;0.00;85.00
||||Brainstorming;76.00;76.00
||||Diskusia - Edo;9.00;9.00
|||Phone call Dawid;14.33;14.33
Vyvojove ulohy;33.68;5701.00
|Riadenie vyvojovych uloh;0.00;4972.00
||Update Projectu;1800.00;2397.00
|||Reporting;149.00;149.00
|||Doplnenie Projectu Technica SA;140.00;140.00
|||Stav uloh - Mail - Tomas;95.00;95.00
|||Nove ulohy;57.10;57.10
|||Update nakladov;49.18;49.18
|||Doplnenie novych uloh - Tomas;41.00;41.00
|||Diskusia - Tomas;33.00;33.00
|||Rekonfiguracia - novy notebook;30.53;30.53
||planovanie vyvojovych uloh na 2016;57.33;2073.00
|||Hruby plan uloh;298.00;1566.00
||||Project - Nastavenia;264.00;1224.00
|||||Import Tomasovych uloh;366.00;366.00
|||||Doplnenie hotovych uloh - mail - Tomas;280.00;280.00
|||||Uprava - Tomas;224.00;224.00
|||||Update HW uloh - Jaro;69.00;69.00
|||||Vytvorenie Eway CRM - Ado;18.78;18.78
||||meeting - Tomas;44.23;44.23
|||Meeting Peto / Tomas / Gabo;352.00;352.00
|||Meeting - Peto - aktualny stav;39.48;39.48
|||Meeting - Edo;34.00;34.00
|||Timecamp - Jardo;24.08;24.08
||Doplnenie informacii do Projectu;201.00;201.00
||Mail - rozpis uloh;113.00;113.00
||Reporty pre Peta na poradu vedenia;72.00;72.00
||Diskusia - Peto;50.00;50.00
||Meeting - Tomas;40.27;40.27
||Ulohy na 2016;0.87;23.03
|||Zber udajov;22.17;22.17
|TRL, TPL;139.00;476.00
||TRL, TPL - Tomas;130.00;130.00
||Studovanie dokumentov;120.00;120.00
||TRL,TPL Meeting - Tomas / Gabo / Edo / Peto;86.00;86.00
|Edo - meeting;137.00;137.00
|Meeting - Edo / Peto / Tomas;81.00;81.00
TOOZ;0.00;5564.00
|Projects;0.00;5377.00
||1609 - Podbiel;91.00;5377.00
|||Evaluation;0.00;2349.00
||||Vyhodnotenie prvych merani - WL to strain;809.00;1491.00
|||||Testovanie MS-03 - bending strain;196.00;226.00
||||||Testovanie MS-03 / SG-01 / MS-02 bending strain;30.00;30.00
|||||Meeting - SjF - Analyza vysledkov;130.00;130.00
|||||Diskusia - Tomas / MAto;109.00;109.00
|||||Pridanie novych udajov;75.00;75.00
|||||Averaging reportu;68.00;68.00
|||||Rekonfiguracia snimacov;38.52;38.52
|||||Diskusia - Tomas / Mato;19.37;19.37
|||||Export udajov - Tomas;14.75;14.75
||||Analyza Maj 2016;0.00;759.00
|||||Referencovanie VDV;0.00;391.00
||||||Vytvorenie .dat suboru;391.00;391.00
|||||Referencovanie - Sentinel;1.28;115.00
||||||Update definicneho suboru;114.00;114.00
|||||Export uajov - cely mesiac;58.03;104.00
||||||Generovanie reportu;46.23;46.23
|||||VDV - referencovanie / research moznosti;53.52;53.52
|||||Diskusia - Tomas;35.02;35.02
|||||Talk - Tomas - detaily;33.33;33.33
