Name;Hours without subtasks;Hours with subtasks
S-Line Scan;3m 19s;196h 26m
     1813 - S-line Scan 400 Axsun;-;134h 59m
          Testing & Evaluation;-;95h 19m
               Vyhodnotenie;-;40h 36m
                    Wl range sweep;-;19h 37m
                         1. test;9h 39m;9h 39m
                         3.snimac;4h 22m;4h 22m
                         2. snimac;4h 11m;4h 11m
                         4. snimac;1h 23m;1h 23m
                    Fitovanie;-;14h 17m
                         Test nr.5;4h 19m;5h 4m
                              Talk - Jaro;45m 28s;45m 28s
                         Test nr.6;3h 54m;3h 54m
                         Test nr. 4;3h 49m;3h 49m
                         Test nr.7;1h 22m;1h 22m
                         Test nr. 3;6m 18s;6m 18s
                         Test nr. 2;1m 5s;1m 5s
                    Testovanie VOA;-;3h 57m
                         WL nr. 4;3h 4m;3h 4m
                         WL nr. 3 VOA0;52m 47s;52m 47s
                    Postupne spajanie snimacov - test 1875;2h 43m;2h 43m
               Testovanie fitovania / cely WL range;12h 29m;24h 55m
                    Sensor nr. 2;3h 53m;3h 53m
                    Sensor 3 opakovane testy;3h 52m;3h 52m
                    Sensor nr.3;3h 36m;3h 36m
                    Sensor nr. 4;1h 5m;1h 5m
               Testovanie fitovania;-;23h 30m
                    Test nr. 2;5h 43m;5h 43m
                    Test nr.7 - Testovanie VOA2;5h 20m;5h 20m
                    Testovanie nr.3;4h 25m;4h 25m
                    Test nr.1 - Jardo;3h 23m;3h 23m
                    Testovanie nr.5 - Scrambler + dlhe ustalenie;3h 14m;3h 14m
                    Test nr.6 - Testovanie VOA;1h 24m;1h 24m
               Testovanie VOA;-;2h 24m
                    WL nr. 3 VOA0;2h 24m;2h 24m
               Testovanie DTG;2h 22m;2h 22m
               Testovanie polarizacie 400;1h 30m;1h 30m
          Design;-;34h 43m
               R&D;-;29h 57m
                    TRL - Risk Management - Jaro;11h 10m;23h 39m
                         Udpdate riskov;5h 5m;5h 5m
                         UML diagram vyvoja;3h 52m;3h 52m
